..\dataset\tracks\0.wav,..\dataset\masks\0.npy
..\dataset\tracks\1.wav,..\dataset\masks\1.npy
..\dataset\tracks\10.wav,..\dataset\masks\10.npy
..\dataset\tracks\100.wav,..\dataset\masks\100.npy
..\dataset\tracks\1000.wav,..\dataset\masks\1000.npy
..\dataset\tracks\1001.wav,..\dataset\masks\1001.npy
..\dataset\tracks\1002.wav,..\dataset\masks\1002.npy
..\dataset\tracks\1003.wav,..\dataset\masks\1003.npy
..\dataset\tracks\1004.wav,..\dataset\masks\1004.npy
..\dataset\tracks\1005.wav,..\dataset\masks\1005.npy
..\dataset\tracks\1006.wav,..\dataset\masks\1006.npy
..\dataset\tracks\1007.wav,..\dataset\masks\1007.npy
..\dataset\tracks\1008.wav,..\dataset\masks\1008.npy
..\dataset\tracks\1009.wav,..\dataset\masks\1009.npy
..\dataset\tracks\101.wav,..\dataset\masks\101.npy
..\dataset\tracks\1010.wav,..\dataset\masks\1010.npy
..\dataset\tracks\1011.wav,..\dataset\masks\1011.npy
..\dataset\tracks\1012.wav,..\dataset\masks\1012.npy
..\dataset\tracks\1013.wav,..\dataset\masks\1013.npy
..\dataset\tracks\1014.wav,..\dataset\masks\1014.npy
..\dataset\tracks\1015.wav,..\dataset\masks\1015.npy
..\dataset\tracks\1016.wav,..\dataset\masks\1016.npy
..\dataset\tracks\1017.wav,..\dataset\masks\1017.npy
..\dataset\tracks\1018.wav,..\dataset\masks\1018.npy
..\dataset\tracks\1019.wav,..\dataset\masks\1019.npy
..\dataset\tracks\102.wav,..\dataset\masks\102.npy
..\dataset\tracks\1020.wav,..\dataset\masks\1020.npy
..\dataset\tracks\1021.wav,..\dataset\masks\1021.npy
..\dataset\tracks\1022.wav,..\dataset\masks\1022.npy
..\dataset\tracks\1023.wav,..\dataset\masks\1023.npy
..\dataset\tracks\1024.wav,..\dataset\masks\1024.npy
..\dataset\tracks\1025.wav,..\dataset\masks\1025.npy
..\dataset\tracks\1026.wav,..\dataset\masks\1026.npy
..\dataset\tracks\1027.wav,..\dataset\masks\1027.npy
..\dataset\tracks\1028.wav,..\dataset\masks\1028.npy
..\dataset\tracks\1029.wav,..\dataset\masks\1029.npy
..\dataset\tracks\103.wav,..\dataset\masks\103.npy
..\dataset\tracks\1030.wav,..\dataset\masks\1030.npy
..\dataset\tracks\1031.wav,..\dataset\masks\1031.npy
..\dataset\tracks\1032.wav,..\dataset\masks\1032.npy
..\dataset\tracks\1033.wav,..\dataset\masks\1033.npy
..\dataset\tracks\1034.wav,..\dataset\masks\1034.npy
..\dataset\tracks\1035.wav,..\dataset\masks\1035.npy
..\dataset\tracks\1036.wav,..\dataset\masks\1036.npy
..\dataset\tracks\1037.wav,..\dataset\masks\1037.npy
..\dataset\tracks\1038.wav,..\dataset\masks\1038.npy
..\dataset\tracks\1039.wav,..\dataset\masks\1039.npy
..\dataset\tracks\104.wav,..\dataset\masks\104.npy
..\dataset\tracks\1040.wav,..\dataset\masks\1040.npy
..\dataset\tracks\1041.wav,..\dataset\masks\1041.npy
..\dataset\tracks\1042.wav,..\dataset\masks\1042.npy
..\dataset\tracks\1043.wav,..\dataset\masks\1043.npy
..\dataset\tracks\1044.wav,..\dataset\masks\1044.npy
..\dataset\tracks\1045.wav,..\dataset\masks\1045.npy
..\dataset\tracks\1046.wav,..\dataset\masks\1046.npy
..\dataset\tracks\1047.wav,..\dataset\masks\1047.npy
..\dataset\tracks\1048.wav,..\dataset\masks\1048.npy
..\dataset\tracks\1049.wav,..\dataset\masks\1049.npy
..\dataset\tracks\105.wav,..\dataset\masks\105.npy
..\dataset\tracks\1050.wav,..\dataset\masks\1050.npy
..\dataset\tracks\1051.wav,..\dataset\masks\1051.npy
..\dataset\tracks\1052.wav,..\dataset\masks\1052.npy
..\dataset\tracks\1053.wav,..\dataset\masks\1053.npy
..\dataset\tracks\1054.wav,..\dataset\masks\1054.npy
..\dataset\tracks\1055.wav,..\dataset\masks\1055.npy
